"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","5tzzkeyb",2018-10-13 12:57:13,0,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"2","5tzzkeyb",2018-10-13 15:06:00,1,1,2,0,1,"[Home (dorm; apartment)]","[Friends;Significant other]","[Talking; texting; socializing]","[Friends;Significant other]"
"3","5tzzkeyb",2018-10-13 19:49:33,0,1,2,0,1,"[Bar; Party]","[Family;Friends;Strangers]","[Eating; drinking;Talking; texting; socializing;None of the above; Other]","[Family;Friends;Strangers]"
"4","5tzzkeyb",2018-10-14 19:55:17,0,0,2,0,2,"[None of the above; other]","[Friends;Significant other]","[Eating; drinking;None of the above; Other]","[Friends;Significant other]"
"5","5tzzkeyb",2018-10-15 09:02:12,0,0,2,0,1,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person]"
"6","5tzzkeyb",2018-10-16 18:44:46,1,1,1,0,0,"[Friend’s house]","[Significant other]","[Talking; texting; socializing;Working at job]","[Significant other]"
"7","5tzzkeyb",2018-10-18 14:09:53,0,3,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"8","5tzzkeyb",2018-10-18 15:00:49,0,3,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"9","5tzzkeyb",2018-10-18 19:41:11,0,2,2,0,2,"[Vehicle]","[Friends]","[Commuting; traveling]","[Friends]"
"10","5tzzkeyb",2018-10-19 09:28:04,1,2,0,0,0,"[Friend's house]","[Significant other]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking on the phone;Text messaging on the phone]"
"11","5tzzkeyb",2018-10-19 14:55:16,0,3,1,0,2,"[Friend’s house]","[Significant other]","[Studying; reading; preparing for an exam]","[Significant other]"
"12","5tzzkeyb",2018-10-19 19:17:17,1,3,1,1,2,"[Vehicle]","[Family]","[Talking; texting; socializing]","[Family]"
"13","5tzzkeyb",2018-10-20 11:14:07,0,3,1,0,1,"[Cafe; restaurant]","[Family;Friends]","[Talking; texting; socializing]","[Talking in person]"
"14","5tzzkeyb",2018-10-20 12:15:52,1,3,1,1,1,"[Cafe; Restaurant]","[Family;Friends]","[Eating; drinking;Talking; texting; socializing]","[Family;Friends]"
"15","5tzzkeyb",2018-10-20 16:09:04,2,3,0,1,1,"[Home (dorm; apartment)]","[Family]","[Talking; texting; socializing]","[Family]"
"16","5tzzkeyb",2018-10-20 18:29:36,1,3,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"17","5tzzkeyb",2018-10-21 11:03:28,2,3,0,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"18","5tzzkeyb",2018-10-21 16:01:59,1,3,1,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"19","5tzzkeyb",2018-10-21 18:29:34,2,3,0,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"20","5tzzkeyb",2018-10-22 11:12:27,1,2,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"21","5tzzkeyb",2018-10-22 12:19:18,1,2,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"22","5tzzkeyb",2018-10-22 18:22:44,0,3,1,1,2,"[Cafe; Restaurant]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"23","5tzzkeyb",2018-10-23 10:41:17,0,2,1,1,1,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Resting; napping; doing nothing]","[Talking in person]"
"24","5tzzkeyb",2018-10-23 12:09:55,1,2,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"25","5tzzkeyb",2018-10-23 15:10:31,1,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"26","5tzzkeyb",2018-10-23 18:17:04,1,2,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"27","5tzzkeyb",2018-10-24 15:30:20,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"28","5tzzkeyb",2018-10-24 22:32:15,1,3,1,1,1,"[Vehicle]","[Strangers]","[None of the above; Other]","[Strangers]"
"29","5tzzkeyb",2018-10-25 16:12:47,2,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"30","5tzzkeyb",2018-10-26 09:01:53,1,1,1,1,1,"[Vehicle]","[Family]","[Commuting; traveling]","[Talking in person]"
"31","5tzzkeyb",2018-10-26 12:04:27,1,2,2,1,1,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"32","5tzzkeyb",2018-10-26 18:17:34,1,1,2,1,2,"[Friend’s house]","[Significant other]","[Talking; texting; socializing]","[Significant other]"
"33","5tzzkeyb",2018-10-27 16:22:49,0,1,2,1,2,"[Friend’s house]","[Friends;Significant other]","[Talking; texting; socializing]","[Friends;Significant other]"
