"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","zqj317l7",2018-10-10 10:13:49,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings; Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"2","zqj317l7",2018-10-10 12:09:03,0,1,1,0,1,"2","4","7","4"
"3","zqj317l7",2018-10-10 16:39:27,0,1,1,0,0,"5","4","2","4"
"4","zqj317l7",2018-10-10 19:26:00,0,1,0,0,1,"[Vehicle]","[Family]","[Commuting; traveling; Doing household chores; running errands]","[Family]"
"5","zqj317l7",2018-10-11 11:12:09,0,0,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"6","zqj317l7",2018-10-11 12:20:45,0,0,1,0,2,"[Campus]","[Classmates; students]","[Browsing the Internet; using social media; Commuting; traveling]","[Classmates; students]"
"7","zqj317l7",2018-10-11 15:03:44,0,1,0,0,1,"[Home (dorm; apartment)]","[Family]","[Eating; drinking; Studying; reading; preparing for an exam]","[Family]"
"8","zqj317l7",2018-10-11 22:27:21,0,1,1,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"9","zqj317l7",2018-10-12 12:36:54,0,1,1,0,3,"[Cafe; restaurant; Campus]","[Classmates; students; Family]","[Attending classes; meetings; Commuting; traveling; Eating; drinking]","[Talking in person]"
"10","zqj317l7",2018-10-12 15:34:16,0,1,1,0,2,"[Campus]","[Classmates; students]","[None of the above; Other]","[Classmates; students]"
"11","zqj317l7",2018-10-12 18:14:56,0,0,1,0,1,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Family]"
"12","zqj317l7",2018-10-13 09:22:11,0,0,1,0,3,"[Home (dorm; apartment)]","[Family]","[Doing household chores; running errands]","[Talking in person; Interacting on Facebook]"
"13","zqj317l7",2018-10-13 12:56:45,0,2,0,0,2,"[Vehicle]","[Family]","[Commuting; traveling; Studying; reading; preparing for an exam]","[Family]"
"14","zqj317l7",2018-10-14 11:57:51,0,1,0,0,2,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Talking in person]"
"15","zqj317l7",2018-10-14 16:48:41,0,2,0,0,2,"[Home (dorm; apartment)]","[Family]","[Studying; reading; preparing for an exam]","[Family]"
"16","zqj317l7",2018-10-14 19:04:30,0,2,0,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media; Doing household chores; running errands]","[No one; alone]"
"17","zqj317l7",2018-10-15 11:00:38,0,1,1,0,3,"[Campus]","[None of the above; Other]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"18","zqj317l7",2018-10-15 12:17:24,0,1,0,0,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam; Talking; texting; socializing]","[No one; alone]"
"19","zqj317l7",2018-10-15 16:02:28,0,0,1,0,3,"[Campus]","[Classmates; students]","[None of the above; Other]","[Classmates; students]"
"20","zqj317l7",2018-10-15 20:13:32,0,0,3,0,0,"[Campus; Gym]","[Classmates; students; Friends]","[Exercising; physical activity; sports]","[Classmates; students; Friends]"
"21","zqj317l7",2018-10-16 10:57:59,0,0,1,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"22","zqj317l7",2018-10-16 12:21:16,0,1,1,0,3,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"23","zqj317l7",2018-10-16 18:41:18,0,1,1,0,3,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media; Eating; drinking; Resting; napping; doing nothing]","[Family]"
"24","zqj317l7",2018-10-17 10:09:34,0,1,1,0,2,"[Campus]","[Classmates; students]","[Commuting; traveling; Talking; texting; socializing]","[Talking in person]"
"25","zqj317l7",2018-10-17 12:38:15,0,1,1,0,2,"[Campus]","[Classmates; students; Friends]","[Commuting; traveling]","[Classmates; students; Friends]"
"26","zqj317l7",2018-10-17 19:27:16,0,1,1,0,2,"[Home (dorm; apartment)]","[Family]","[Doing household chores; running errands]","[Family]"
"27","zqj317l7",2018-10-18 11:56:25,0,1,1,0,2,"[Campus]","[No one; alone]","[Eating; drinking]","[Not applicable; was not interacting with anyone]"
"28","zqj317l7",2018-10-18 12:26:30,0,1,1,0,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"29","zqj317l7",2018-10-18 15:12:20,0,1,1,0,3,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"30","zqj317l7",2018-10-18 19:14:38,0,1,1,0,2,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"31","zqj317l7",2018-10-19 14:30:57,2,3,0,1,3,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"32","zqj317l7",2018-10-19 17:43:32,2,3,0,1,2,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Talking in person]"
"33","zqj317l7",2018-10-19 21:00:17,1,1,0,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"34","zqj317l7",2018-10-20 10:02:07,0,0,0,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"35","zqj317l7",2018-10-20 12:14:25,1,0,0,0,2,"[Home (dorm; apartment)]","[Family]","[Studying; reading; preparing for an exam]","[Family]"
"36","zqj317l7",2018-10-20 17:16:27,0,0,0,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Family]"
"37","zqj317l7",2018-10-20 19:51:30,0,0,0,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"38","zqj317l7",2018-10-21 13:16:48,0,0,0,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Family]"
"39","zqj317l7",2018-10-21 18:29:35,0,0,0,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"40","zqj317l7",2018-10-22 10:05:50,0,0,0,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"41","zqj317l7",2018-10-22 12:13:56,0,0,0,0,1,"[Campus]","[No one; alone]","[Eating; drinking; Studying; reading; preparing for an exam]","[No one; alone]"
"42","zqj317l7",2018-10-22 16:22:51,0,0,0,0,2,"[Vehicle]","[Classmates; students]","[Commuting; traveling; Talking; texting; socializing]","[Classmates; students]"
"43","zqj317l7",2018-10-23 15:10:23,0,0,1,0,2,"[Home (dorm; apartment)]","[Family]","[Eating; drinking; Studying; reading; preparing for an exam]","[Family]"
"44","zqj317l7",2018-10-23 20:05:47,0,0,1,0,2,"[Home (dorm; apartment)]","[Family]","[Eating; drinking; Resting; napping; doing nothing]","[Family]"
"45","zqj317l7",2018-10-24 14:04:38,0,0,0,0,1,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"46","zqj317l7",2018-10-24 18:44:18,0,0,1,0,2,"[Home (dorm; apartment)]","[Family]","[None of the above; Other]","[Family]"
"47","zqj317l7",2018-10-29 19:00:39,0,0,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"48","zqj317l7",2018-10-29 20:48:18,0,0,1,0,2,"[Home (dorm; apartment)]","[Family]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"49","zqj317l7",2018-10-30 11:40:42,0,0,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
