"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","qz13bc3l",2019-02-14 09:45:52,2,3,0,1,2,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Resting; napping; doing nothing]","[Interacting on Snapchat]"
"2","qz13bc3l",2019-02-14 12:01:43,1,1,3,0,4,"[Campus;Home (dorm; apartment)]","[No one; alone;Roommates;Strangers]","[Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone;Interacting on Snapchat;Interacting on Twitter]"
"3","qz13bc3l",2019-02-14 15:04:05,1,2,1,0,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends;No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam]","[Talking in person;Interacting on Snapchat;Interacting on Twitter]"
"4","qz13bc3l",2019-02-14 18:01:47,2,2,1,0,2,"[Cafe; Restaurant;Campus;Home (dorm; apartment)]","[Classmates; students;Family]","[Eating; drinking;Talking; texting; socializing]","[Talking in person;Interacting on Snapchat;Interacting on Twitter]"
"5","qz13bc3l",2019-02-15 09:01:13,2,2,1,0,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;No one; alone;Roommates]","[Attending classes; meetings;Browsing the Internet; using social media;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Snapchat;Interacting on Twitter]"
"6","qz13bc3l",2019-02-15 15:31:38,2,2,1,0,2,"[Friend's house;Home (dorm; apartment)]","[Friends;No one; alone]","[Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"7","qz13bc3l",2019-02-15 18:01:39,2,2,0,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person]"
"8","qz13bc3l",2019-02-16 10:27:51,2,3,0,1,2,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"9","qz13bc3l",2019-02-16 15:04:09,2,3,0,0,2,"[Home (dorm; apartment)]","[Friends;No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"10","qz13bc3l",2019-02-16 18:04:10,2,3,0,0,2,"[Campus;Friend's house]","[Friends;No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Talking in person]"
"11","qz13bc3l",2019-02-17 10:31:19,2,3,0,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
