"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","f28dpiib",2019-02-14 12:18:47,1,2,0,0,1,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends;No one; alone;Roommates]","[Attending classes; meetings;Doing household chores; running errands;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Chatting on a dating app;Other form of social interaction]"
"2","f28dpiib",2019-02-14 17:28:04,2,2,1,0,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;Family;Friends;No one; alone;Roommates]","[Attending classes; meetings;Browsing the Internet; using social media;Doing household chores; running errands;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Talking on the phone;Text messaging on the phone;Chatting on a dating app;Interacting on Snapchat;Other form of social interaction]"
"3","f28dpiib",2019-02-15 13:02:03,0,1,1,0,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone;Chatting on a dating app;Interacting on Snapchat]"
"4","f28dpiib",2019-02-15 20:11:41,0,0,3,0,2,"[Home (dorm; apartment)]","[Family;Friends;No one; alone;Roommates]","[None of the above; Other]","[Talking in person;Chatting on a dating app;Other form of social interaction]"
"5","f28dpiib",2019-02-17 11:47:18,0,0,1,0,1,"[Home (dorm; apartment)]","[Friends;Roommates]","[Resting; napping; doing nothing;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Interacting on Snapchat]"
"6","f28dpiib",2019-02-17 15:57:27,0,1,2,0,1,"[Home (dorm; apartment)]","[Family;Friends;Roommates]","[Resting; napping; doing nothing;Watching TV; movies]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"7","f28dpiib",2019-02-18 12:07:27,1,3,0,1,1,"[Campus]","[Classmates; students;Friends]","[Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone;Chatting on a dating app]"
"8","f28dpiib",2019-02-18 20:37:28,0,1,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"9","f28dpiib",2019-02-19 19:03:31,1,0,2,0,3,"[Home (dorm; apartment)]","[Family;Friends;Roommates]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"10","f28dpiib",2019-02-20 14:10:19,0,1,2,0,3,"[Campus]","[Classmates; students;Friends;No one; alone]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"11","f28dpiib",2019-02-22 13:51:51,0,1,2,1,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Commuting; traveling;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Facebook;Interacting on Instagram;Interacting on Snapchat]"
"12","f28dpiib",2019-02-22 18:33:40,0,1,3,0,2,"[Friend's house]","[Friends]","[Resting; napping; doing nothing;Talking; texting; socializing;Watching TV; movies]","[Talking in person;Text messaging on the phone]"
"13","f28dpiib",2019-02-23 13:26:48,0,0,2,0,2,"[Cafe; Restaurant]","[Friends;Roommates]","[Eating; drinking]","[Talking in person;Talking on the phone]"
"14","f28dpiib",2019-02-23 15:01:36,0,0,3,0,2,"[Friend's house]","[Family;Friends;Roommates]","[Browsing the Internet; using social media;Watching TV; movies]","[Talking in person;Talking on the phone;Text messaging on the phone]"
"15","f28dpiib",2019-02-24 19:08:03,0,1,1,1,2,"[Campus]","[Classmates; students;Friends;No one; alone]","[Commuting; traveling;Doing household chores; running errands]","[Talking in person;Text messaging on the phone]"
"16","f28dpiib",2019-02-26 18:27:34,0,0,1,0,1,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends;Roommates]","[Commuting; traveling;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Chatting on a dating app;Interacting on Snapchat]"
"17","f28dpiib",2019-02-26 20:38:11,0,1,1,0,1,"[Home (dorm; apartment)]","[Classmates; students;Friends;Roommates]","[Attending classes; meetings;Resting; napping; doing nothing;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Chatting on a dating app;Emailing]"
"18","f28dpiib",2019-02-27 10:02:16,0,1,0,0,1,"[Home (dorm; apartment)]","[Classmates; students;Friends]","[Commuting; traveling;Eating; drinking]","[Talking in person;Text messaging on the phone]"
"19","f28dpiib",2019-02-27 12:00:58,0,3,1,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone]"
"20","f28dpiib",2019-03-01 12:19:28,0,0,3,1,2,"[Home (dorm; apartment)]","[Family;No one; alone]","[Doing household chores; running errands;Resting; napping; doing nothing]","[Talking in person;Talking on the phone;Text messaging on the phone]"
"21","f28dpiib",2019-03-02 13:45:11,0,0,3,0,2,"[Home (dorm; apartment)]","[Family]","[Eating; drinking;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Facebook]"
"22","f28dpiib",2019-03-02 17:05:52,0,0,3,0,3,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing;Talking; texting; socializing;Watching TV; movies]","[Talking in person;Text messaging on the phone;Video-chatting]"
"23","f28dpiib",2019-03-03 17:00:25,0,0,3,0,3,"[Cafe; Restaurant;Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media;Watching TV; movies]","[Talking in person;Text messaging on the phone]"
"24","f28dpiib",2019-03-04 12:34:47,0,0,2,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone]"
"25","f28dpiib",2019-03-05 19:30:58,0,1,2,0,1,"[Home (dorm; apartment)]","[Family;Friends;Roommates]","[Resting; napping; doing nothing;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Talking on the phone;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"26","f28dpiib",2019-03-06 12:03:17,0,2,1,0,4,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone]"
