"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","ffman2sy",2019-02-18 15:19:07,0,1,1,2,1,"[Campus]","[No one; alone]","[Exercising; physical activity; sports]","[Talking on the phone;Text messaging on the phone]"
"2","ffman2sy",2019-02-18 18:08:53,1,0,2,0,1,"[Home (dorm; apartment)]","[Friends]","[Watching TV; movies]","[Talking in person]"
"3","ffman2sy",2019-02-19 13:14:54,0,2,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"4","ffman2sy",2019-02-19 18:25:52,0,2,2,0,3,"[Campus]","[Roommates]","[Commuting; traveling;Eating; drinking;Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"5","ffman2sy",2019-02-20 09:27:38,0,0,2,0,1,"[Campus;Home (dorm; apartment)]","[Roommates]","[Attending classes; meetings;Browsing the Internet; using social media;Commuting; traveling;Eating; drinking]","[Talking in person;Talking on the phone;Text messaging on the phone;Interacting on Snapchat]"
"6","ffman2sy",2019-02-20 12:01:30,0,0,1,0,1,"[Campus]","[Classmates; students;Friends;Strangers]","[Attending classes; meetings;Commuting; traveling]","[Talking in person]"
"7","ffman2sy",2019-02-20 15:01:00,0,0,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Not applicable; was not interacting with anyone]"
"8","ffman2sy",2019-02-20 19:14:43,0,0,2,0,1,"[Vehicle]","[Friends]","[Commuting; traveling;Exercising; physical activity; sports;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"9","ffman2sy",2019-02-21 09:01:42,0,0,2,0,1,"[Campus]","[Roommates]","[Commuting; traveling]","[Talking in person;Text messaging on the phone]"
"10","ffman2sy",2019-02-21 12:06:59,0,0,3,0,3,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person;Talking on the phone;Text messaging on the phone;Interacting on Snapchat]"
"11","ffman2sy",2019-02-21 15:07:02,1,0,1,1,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Attending classes; meetings;Browsing the Internet; using social media;Doing household chores; running errands]","[Talking in person;Talking on the phone;Text messaging on the phone;Interacting on Snapchat]"
"12","ffman2sy",2019-02-21 18:01:18,0,0,2,1,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Commuting; traveling]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"13","ffman2sy",2019-02-22 12:28:24,0,1,2,0,1,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Talking in person]"
"14","ffman2sy",2019-02-22 15:00:46,0,0,3,0,2,"[Vehicle]","[Classmates; students;Family;Friends]","[Commuting; traveling]","[Talking in person;Talking on the phone;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"15","ffman2sy",2019-02-22 18:01:15,0,0,2,0,3,"[Vehicle]","[Classmates; students;Friends]","[Browsing the Internet; using social media;Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"16","ffman2sy",2019-02-23 12:23:08,0,0,2,0,1,"[None of the above; Other]","[Classmates; students;Friends;Strangers]","[Resting; napping; doing nothing]","[Talking in person;Talking on the phone;Text messaging on the phone]"
"17","ffman2sy",2019-02-23 20:57:23,0,0,2,0,3,"[None of the above; Other]","[Classmates; students;Friends]","[Exercising; physical activity; sports]","[Talking in person;Interacting on Snapchat]"
"18","ffman2sy",2019-02-24 11:15:29,0,0,3,0,1,"[Vehicle;None of the above; Other]","[Classmates; students;Friends]","[Commuting; traveling;Exercising; physical activity; sports]","[Talking in person;Talking on the phone;Text messaging on the phone;Interacting on Snapchat]"
"19","ffman2sy",2019-02-24 14:55:59,0,0,2,0,2,"[None of the above; Other]","[Classmates; students;Friends;Strangers]","[Exercising; physical activity; sports]","[Talking in person]"
"20","ffman2sy",2019-02-24 18:01:04,0,1,3,0,1,"[Vehicle]","[Classmates; students;Friends]","[Commuting; traveling;Studying; reading; preparing for an exam]","[Talking in person;Interacting on Snapchat]"
"21","ffman2sy",2019-02-25 09:32:26,0,1,2,0,1,"[Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Commuting; traveling]","[Talking in person;Text messaging on the phone]"
"22","ffman2sy",2019-02-25 12:00:51,1,1,1,1,1,"[Campus]","[Classmates; students;Friends;Strangers]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"23","ffman2sy",2019-02-25 15:09:58,0,0,3,0,3,"[Campus]","[Classmates; students;Friends]","[Talking; texting; socializing]","[Talking in person]"
"24","ffman2sy",2019-02-25 18:08:11,1,0,1,2,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Doing household chores; running errands;Resting; napping; doing nothing;Talking; texting; socializing;Watching TV; movies]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"25","ffman2sy",2019-02-26 11:22:39,0,1,2,0,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Talking; texting; socializing]","[Talking in person]"
"26","ffman2sy",2019-02-26 12:06:07,0,0,2,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Eating; drinking;Talking; texting; socializing]","[Talking in person;Talking on the phone;Text messaging on the phone;Interacting on Snapchat]"
"27","ffman2sy",2019-02-26 19:23:36,1,1,3,0,3,"[Campus]","[Classmates; students;Family;Friends;Roommates]","[Attending classes; meetings;Commuting; traveling]","[Talking in person]"
"28","ffman2sy",2019-02-27 12:04:20,0,0,2,0,3,"[Home (dorm; apartment)]","[Friends;Roommates]","[Resting; napping; doing nothing;Watching TV; movies]","[Talking in person]"
"29","ffman2sy",2019-02-27 12:21:00,0,0,3,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"30","ffman2sy",2019-02-27 15:00:59,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"31","ffman2sy",2019-02-27 18:20:22,1,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing;Talking; texting; socializing;Watching TV; movies]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"32","ffman2sy",2019-02-28 10:57:54,2,2,1,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"33","ffman2sy",2019-02-28 12:03:12,2,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"34","ffman2sy",2019-02-28 18:05:35,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"35","ffman2sy",2019-03-01 11:08:01,0,1,2,0,3,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends;Roommates]","[Attending classes; meetings;Commuting; traveling;Resting; napping; doing nothing]","[Talking in person;Text messaging on the phone]"
"36","ffman2sy",2019-03-01 12:00:49,0,1,2,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"37","ffman2sy",2019-03-01 15:01:04,0,2,2,1,3,"[Home (dorm; apartment)]","[Roommates]","[Watching TV; movies]","[Talking in person;Interacting on Snapchat]"
"38","ffman2sy",2019-03-01 18:01:10,0,1,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"39","ffman2sy",2019-03-02 09:23:00,0,1,2,0,2,"[Vehicle]","[Friends]","[Commuting; traveling]","[Talking in person]"
"40","ffman2sy",2019-03-02 12:29:40,0,1,2,0,3,"[None of the above; Other]","[Friends]","[Exercising; physical activity; sports]","[Talking in person]"
"41","ffman2sy",2019-03-02 16:02:54,0,1,2,0,3,"[None of the above; Other]","[Friends]","[Exercising; physical activity; sports]","[Talking in person]"
"42","ffman2sy",2019-03-02 18:01:57,0,1,3,1,2,"[None of the above; Other]","[Friends]","[Commuting; traveling]","[Talking in person]"
"43","ffman2sy",2019-03-03 12:00:38,0,1,2,1,3,"[None of the above; Other]","[Friends]","[Exercising; physical activity; sports]","[Talking in person]"
"44","ffman2sy",2019-03-03 15:00:50,0,2,2,0,1,"[Vehicle]","[Friends]","[Commuting; traveling;Exercising; physical activity; sports]","[Talking in person;Interacting on Snapchat]"
"45","ffman2sy",2019-03-03 18:00:52,1,2,1,1,2,"[Home (dorm; apartment)]","[Roommates]","[Talking; texting; socializing;Watching TV; movies]","[Talking in person]"
"46","ffman2sy",2019-03-04 09:28:39,1,2,2,1,4,"[Vehicle]","[Roommates]","[Commuting; traveling]","[Talking in person]"
"47","ffman2sy",2019-03-04 12:01:05,0,1,2,1,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Commuting; traveling]","[Talking in person]"
"48","ffman2sy",2019-03-04 15:24:18,0,1,2,0,3,"[Home (dorm; apartment)]","[Friends]","[Watching TV; movies]","[Talking in person]"
"49","ffman2sy",2019-03-05 09:20:05,1,2,2,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
